               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.030191,           0.0079992,           0.0040464,             0.99589,                   1,               0.995,             0.73041,            0.029981,           0.0044607,           0.0037909,           0.0079606,           0.0079606,           0.0079606
                 105,            0.033511,            0.010427,           0.0041066,             0.98087,                   1,               0.995,             0.68547,            0.023794,           0.0041851,           0.0037899,           0.0079408,           0.0079408,           0.0079408
                 106,             0.03032,           0.0069947,           0.0044657,             0.99549,                   1,               0.995,             0.60882,            0.027757,           0.0044238,           0.0036947,            0.007921,            0.007921,            0.007921
                 107,            0.032898,            0.007572,           0.0043669,             0.97109,             0.99422,               0.995,             0.64902,            0.027149,            0.004165,           0.0035846,           0.0079012,           0.0079012,           0.0079012
                 108,            0.032932,           0.0094974,           0.0041994,             0.99433,                   1,               0.995,             0.65972,            0.026185,           0.0043376,           0.0034445,           0.0078814,           0.0078814,           0.0078814
                 109,            0.029609,           0.0090295,           0.0044409,             0.99605,                   1,               0.995,             0.68165,            0.027404,           0.0043535,           0.0033594,           0.0078616,           0.0078616,           0.0078616
                 110,            0.038838,            0.011107,           0.0049397,             0.97548,                   1,               0.995,             0.71176,            0.023038,           0.0041092,            0.003319,           0.0078418,           0.0078418,           0.0078418
                 111,            0.026683,           0.0087596,           0.0038448,             0.82341,                0.98,              0.9792,              0.6895,            0.032634,           0.0043131,           0.0032615,            0.007822,            0.007822,            0.007822
                 112,            0.037402,           0.0083516,           0.0036176,             0.99498,             0.99789,               0.995,              0.6456,            0.021512,           0.0040108,           0.0032254,           0.0078022,           0.0078022,           0.0078022
                 113,            0.029594,           0.0095005,           0.0037743,             0.97069,                   1,             0.99423,             0.55803,            0.027482,           0.0043964,           0.0032426,           0.0077824,           0.0077824,           0.0077824
                 114,            0.034383,           0.0091282,           0.0038779,             0.99446,                   1,               0.995,             0.74222,            0.024484,           0.0040974,           0.0032171,           0.0077626,           0.0077626,           0.0077626
                 115,            0.031718,           0.0094843,           0.0054324,              0.7318,             0.98451,             0.96388,             0.53363,            0.027596,           0.0045076,           0.0032426,           0.0077428,           0.0077428,           0.0077428
                 116,            0.032191,           0.0092293,           0.0038831,             0.99638,                   1,               0.995,              0.7806,            0.022025,            0.004066,           0.0032255,            0.007723,            0.007723,            0.007723
                 117,            0.029207,           0.0089794,           0.0039047,             0.92921,             0.99079,             0.99346,              0.7097,            0.024938,           0.0041824,           0.0032547,           0.0077032,           0.0077032,           0.0077032
                 118,            0.035671,            0.008551,           0.0035679,             0.99703,                   1,               0.995,             0.59549,            0.025806,           0.0042076,           0.0032938,           0.0076834,           0.0076834,           0.0076834
                 119,            0.031633,            0.008825,           0.0036647,             0.97679,                   1,             0.99423,             0.74866,            0.023797,           0.0041373,           0.0034574,           0.0076636,           0.0076636,           0.0076636
